GPT2 ppnn perplexity,GPT2 pnnp perplexity,GPT2 nnpp perplexity,GPT2 nppn perplexity,FlanT5 ppnn perplexity,FlanT5 pnnp perplexity,FlanT5 nnpp perplexity,FlanT5 nppn perplexity,OPT ppnn perplexity,OPT pnnp perplexity,OPT nnpp perplexity,OPT nppn perplexity,Mistral ppnn perplexity,Mistral pnnp perplexity,Mistral nnpp perplexity,Mistral nppn perplexity,Llama-13b ppnn perplexity,Llama-13b pnnp perplexity,Llama-13b nnpp perplexity,Llama-13b nppn perplexity
64.07249048455692,87.46557512857984,83.03687784928275,65.50031792789892,22.00709934831363,24.490991802862965,22.085059149671974,22.77438814554952,54.89669299089845,61.68514454407329,57.38118560196929,67.07740582381254,28.736802419470333,32.64662159049084,31.78972618917153,32.771341713246386,21.40117456000775,25.925142757314056,26.144210430903463,24.501960102030147
90.26285981016264,72.0916256970413,69.24803299747265,88.30163880866232,23.03893963532966,24.85657656069976,23.34557719583051,23.972607657296795,58.83815139506424,53.67012483017654,53.76887237389205,65.15967409862347,36.4779272233025,35.1086604965179,35.6918057324037,40.76465507215365,29.776306621029367,26.926940697730466,27.595420672897127,32.46674272785572
18.92985127266186,23.0985818315196,20.649239480246,20.44992844516245,8.214718360592837,9.775889972347398,8.684155996559735,8.619624555682156,19.96121425322784,22.703043470831915,21.48611969778053,24.56138394586465,16.924371157706478,18.017523024106776,17.018792267323203,19.40332736106201,13.993974077046447,16.23080163243354,15.45990683842678,15.71983208361088
62.94191965291208,66.69538151397975,64.16690500045928,63.62467128677063,13.269941400800748,13.89859197896457,13.160695118088183,13.641459412442954,41.26797654884223,50.85150803506654,52.16340667431771,46.21526372857068,38.168468205667246,36.61838413733262,36.0788718276715,44.84895914233695,29.68575907844121,33.945577395551496,35.47612922163301,32.8862889104701
79.0481833886134,74.66120585895615,68.80720478960454,77.83297180957585,12.210886855296549,12.8632107474145,12.394152498274034,12.427473421313586,45.953632732376605,46.29050466467852,45.74584846644318,48.42213097081445,27.58258094344368,31.079034222059185,31.76160441690463,28.95211513080185,25.76889533885119,28.35564087508563,28.57978805495243,26.778014741101707
37.64483509012157,44.626864870989785,42.102637927628365,40.41639175954005,11.110777599913568,12.461605876751872,11.899245567057111,11.473003103944224,28.97127652277241,33.30909645006944,33.15129249269512,34.027336654299404,20.552147387260412,21.574040530349933,22.19504911681745,22.069747154357664,18.93191393033768,21.40143988840923,22.382874963809677,21.546847762630687
69.70335072899812,74.19423126284299,69.42531296477539,69.60573516836094,20.207723681881237,22.605131479125635,21.21397834473236,20.69103999482575,50.50142735137276,59.12617779815277,60.234377042185685,55.02754938159045,32.218869798629875,36.06278990976398,35.27215705333531,35.25128235100962,23.59414487752172,25.67817043490044,26.17776691602371,25.304664363158157
60.32572471991235,79.13820806866609,67.72255547494468,63.8747572255003,20.463189616039983,24.280004661677136,21.813224881681585,22.416680469093187,51.752272968186105,62.12408160717737,59.127559298663336,65.15411270683498,43.00007494162396,42.47530400747439,42.10824957213991,48.69852428225463,34.564359407638875,33.02393744247382,32.314300816259504,39.25438890518158
46.43425730675349,38.16252632123,36.59301335781844,45.21705430339034,17.631643019873366,15.72010943065964,15.536523802814704,17.994555614663483,29.13689452513739,33.47828968290518,34.08794412595297,32.708809129897844,24.990031634362914,29.614777527784632,29.09919793258244,26.191957158303204,20.069118172984517,19.96854465035937,20.78079009736249,20.717582435754636
121.08751606608172,110.4206918625418,104.41477825893126,123.19504900916291,17.491371240847165,19.170926561668853,17.412344406062523,17.928534451676462,73.40026342912236,78.22834228719613,78.38008532982262,82.94079665233679,49.47194846726364,53.640280168415394,52.37287503993763,56.04433500550536,45.59410548034141,51.27785378226095,50.71013362304807,50.21085083317677
55.72591766235591,60.544854969177045,57.21078555530721,55.05626253340394,12.155213228923271,11.994399707995846,11.585952104747529,12.339373037895005,38.90408256911487,37.66595972671878,39.92244761899603,41.74443674158914,23.616701785536357,23.75571364914808,22.537046475938343,24.84757618695497,22.35916681615295,19.50769460467614,19.67464084402121,22.674589844204608
51.32539668878819,57.16320135643994,49.10482881390266,50.7007041142181,17.88039144357286,17.36186165803677,15.661312877372488,18.571240419188143,47.40758757974479,51.91035059593641,53.47984160654428,61.14072981487487,38.75522801236086,42.16379395580813,45.3701384410576,45.95242756619977,28.28073886148823,30.786076049401583,30.32811113748037,30.935224758381743
70.26431240935783,69.65391139476279,64.6932734176024,68.94711672919769,27.479540704033493,30.599875817511816,28.873351958370986,27.83152169855389,42.90604388569014,47.40841269495102,46.48750509983148,48.251938111966176,29.61576604412719,35.69893748091474,35.4289640230744,33.721007264184664,26.568454684829195,28.16749408502416,28.52462109664465,28.1769110055909
